APFS Number,Description,Contract Status,Component
F2019046608,"Coast Guard Cutter (CGC) WAESCHE Dockside (DS) Main Propulsion Diesel Engine (MPDE) Fiscal Quarter 4 (FQ4) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side maintenance and service the ship's MPDE(s). The maintenance availability is designed to complete all standard recurring MPDE maintenance items. Work to be performed at ship’s homeport in Alameda, CA. Period of Performance: 07JUL2020 - 04SEP2020",NEW,USCG/SFLC
F2019046609,"Coast Guard Cutter (CGC) WAESCHE Dock Side (DS) Fiscal Quarter 3 (FQ3) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). The place of performance is the CGC WAESCHE homeport located at Alameda, CA.  Performance Period 15 May 2020 to 10 July 2020.",NEW,USCG/SFLC
F2019046612,"Coast Guard Cutter (CGC) KIMBALL Dock Side (DS) Fiscal Quarter 4 (FQ4) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side ship repair including welding, electrical, tank cleaning, ventilation cleaning/repair, steel work, equipment overhaul/repair, insulation renewal, deck preservation, and others in accordance with the Specifications (will be attached with the solicitation). Place of performance is the ship’s homeport located at Honolulu, HI. Performance Period is from 25 August 2020 to 30 September 2020.",NEW,USCG/SFLC
F2019046613,"Coast Guard Cutter (CGC) KIMBALL Dockside (DS) Main Propulsion Diesel Engine (MPDE) Fiscal Quarter 4 (FQ4) Fiscal Year 2020 (FY20): Contractor will be required to perform dock side maintenance and service the ship's MPDE(s). The maintenance availability is designed to complete all standard recurring MPDE maintenance items. Work to be performed at ship’s homeport in Honolulu, HI. Period of Performance: 25 August 2020 through 30 September 2020",NEW,USCG/SFLC
F2019046624,"This will be a ship repair contract for CGC ROLLIN FRITCH Dock Side/ Dry Dock FY20 AC&I, cutter's homeport is Cape May, NJ, maintenance availability designed to complete all standard recurring maintenance items. ",NEW,USCG/SFLC
F2019046637,"Vendor shall open and inspect Rudders received in various quantities using government provided drawings and Work Item descriptions to provide an estimated cost to repair the rudder and associated wooden crate.  Items shall be repaired to a ready for issue (RFI) condition as described in the provided documents.  Once repairs are completed to the satisfaction of the government, Coast Guard quality assurance personnel will inspect all aspects of repairs and testing to verify conformance at the vendor's facility.  Once appproved the vendor will ship the Rudders to a designated Coast Guard facility or vessel IAW Coast Guard instructions.  This destination could be anywhere worldwide.Est. POP - 8/13/2020 - 8/12/2025Est. Solicitation date - 4/20/2020Est. Award date - 8/13/2020",REC,USCG/SFLC
F2019046638,"The purpose of this contract is to obtain Contractor technical, administrative, and medical review & recommendation support services for the U.S. Coast Guard (USCG) National Maritime Center (NMC) Medical Evaluation Program.  Contractor tasks shall include reviewing and processing merchant mariner medical certificate applications; managing official merchant mariner medical records (electronic and paper based) and supplemental medical information; completing data entry related to the process; medical certificate creation; and supporting correspondence related to screening and  processing of applications which also includes photo copying, scanning and stuffing envelopes.",REC,USCG/CG-912
F2019046719,"To procure additional, net new Blackbery Software Licensing and maintenance and support for Blackbery Mobility Messaging licensing maintenance support to allow the USCG to manage mobile devices for end users systems and supporting the Electronic Flight Bag (EFB) solution for aviators Coast Guard wide. Licensing maintenanceservices and support is required to ensure CG Users maintain a secured method to remotely access their Microsoft Outlook email, contacts and calendar for wireless emailing.",REC,USCG/C4IT
F2019046742,"Service to provide safe, secure and quality temporary lodging services within a 12-mile radius of the U.S. Coast Guard Yard, Curtis Bay, MD 21226 in accordance with the Statement of Work. The Goverment may award multiple contracts.",REC,USCG/SFLC
F2019046755,"The Coast Guard Yard requires contractor services to perform tank cleaning, bilge cleaning, hull cleaning, removal and disposal of liquids, and the certification of gas free conditions by a certified marine chemist. Services shall be performed at the US Coast Guard Yard, 2401 Hawkins Point Road, Baltimore, MD 21226. This will be a Firm-Fixed Price contract, with a base year and four option years, that will cover the above services performed on vessels visiting the Yard and Yard owned tanks/bilges.",REC,USCG/SFLC
F2019046764,"The scope of work for this task order shall consist of the effort required to support the U.S. Coast Guard Quick Response Support, (QRS) Program ATLANTIC / PACIFIC Areas.",REC,USCG/C4IT
F2019046791,"Provide Information Systems Security Officer (ISSO), Assessment & Authorization (A&A), audit, and vulnerability management support directly to the OSC IA Division. Obtain independent IAS services at Operations Systems Center (OSC), Kearneysville, WV. The work performed under this TO will ensure the Information Technology (IT) investments managed by the OSC meet the requirements of the Federal Information Security Modernization Act (FISMA), Federal Managers’ Financial Integrity Act (FMFIA) and Executive Order 12958.",REC,USCG/C4IT
